title,review
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
I was a bit worried when I saw the 1 star reviews for the conditions that the phone came in but the one I received was like brand new! It was a little bit dirty (this thing is a fingerprint magnet so I don’t blame them), I don’t see any scratches or dings. The overall battery health was 100% which is awesome, for $890 this was a great deal. I bought this phone as an xmas gift and I haven’t activated it yet so hopefully that will work out as well. Overall, I love it so far, I’m gonna clean it and put it back in the box and wrap it for xmas! 🎅
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
I haven’t used an IPhone for long time and I do like this one. However I can’t lie when I say there’s so many features that I miss on androids. Of course there’s unique features with this IPhone I very much appreciate. The battery life is great so far and I love that I can see the battery percentage of my Bluetooth ear buds. However, I’m VERY disappointed with the charger this phone comes with. 1 week of use and the charger was already refusing to charge my phone. Had mornings where my phone didn’t charge at all overnight and it was frustrating having to go to work with low battery. I had no choice but to buy my own separate lightning charger which works completely fine after 1 month of use. Overall good phone and works like new.
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
I could write so much, but it all boils down to apple IOS being about 5-7 years behind developement of android.  The ability to customize something as basic as the keyboard (to the effective degree you can in android) is frustratingly absent, and you are stuck with the most basic of keyboards that require you to have to flip through different keyboard screens just to get to common things like a questionmark.Phone specific, the cameras and what not are good, but the screen colors are a tad washed out/pale, and there really isn't a fix for it.All and all, my next phone won't be an iphone, apple IOS is just too archaic and undeveloped compared to android, but the phone is decent enough that I'll hang on to it for a year or so before upgrading, which is something I don't usually do, given my last phone was a Note 9 that I used for 4 years.  Wanting to upgrade after a year is what happens when apple's flagship phone is crippled by a severely lacking operating system...
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
I had it for a day and everything checks out to what most reviews says. 100% battery life. No scratch or marks. Practically brand new. The price could be better but I love my new phone.
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
Phone is awesome. Very economical for any carrier to be switched. Love the size of the phone makes shows or games enjoyable.
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
Phone was in as stated “excellent” condition.  Like brand new.  Quick delivery.  Definitely a reputable seller!
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
Me gusto que no lo dejaran en la puerta de mi casa, porque no estaba en el momento de la entrega,  lo enviaron a una farmacia que recibe paquetes y me dejaron una nota para recogerlo.  Cuando abrí el paquete estaba en una caja que no es la original pero es muy similar, vino con su cargador y cable. El teléfono en excelente estado, como nuevo. Ahora me falta usarlo y probar si funciona bien su sistema operativo.
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
Llegó a tiempo, rápido, protegido, mejor de lo esperado.Completamente nuevo y con regalos como cargador, vidrio templado, pocket y sobretodo, garantía cubierta de parte de Apple.
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
Battery life, great condition seemed new no dents or scratches
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
Ordered it on tuesday was here by friday and was scheduled for the 18th-22ndHave had it for a few days and battery life came at 100% so far so good!! Thank you!!
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
I was a bit worried when I saw the 1 star reviews for the conditions that the phone came in but the one I received was like brand new! It was a little bit dirty (this thing is a fingerprint magnet so I don’t blame them), I don’t see any scratches or dings. The overall battery health was 100% which is awesome, for $890 this was a great deal. I bought this phone as an xmas gift and I haven’t activated it yet so hopefully that will work out as well. Overall, I love it so far, I’m gonna clean it and put it back in the box and wrap it for xmas! 🎅
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
I haven’t used an IPhone for long time and I do like this one. However I can’t lie when I say there’s so many features that I miss on androids. Of course there’s unique features with this IPhone I very much appreciate. The battery life is great so far and I love that I can see the battery percentage of my Bluetooth ear buds. However, I’m VERY disappointed with the charger this phone comes with. 1 week of use and the charger was already refusing to charge my phone. Had mornings where my phone didn’t charge at all overnight and it was frustrating having to go to work with low battery. I had no choice but to buy my own separate lightning charger which works completely fine after 1 month of use. Overall good phone and works like new.
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
I could write so much, but it all boils down to apple IOS being about 5-7 years behind developement of android.  The ability to customize something as basic as the keyboard (to the effective degree you can in android) is frustratingly absent, and you are stuck with the most basic of keyboards that require you to have to flip through different keyboard screens just to get to common things like a questionmark.Phone specific, the cameras and what not are good, but the screen colors are a tad washed out/pale, and there really isn't a fix for it.All and all, my next phone won't be an iphone, apple IOS is just too archaic and undeveloped compared to android, but the phone is decent enough that I'll hang on to it for a year or so before upgrading, which is something I don't usually do, given my last phone was a Note 9 that I used for 4 years.  Wanting to upgrade after a year is what happens when apple's flagship phone is crippled by a severely lacking operating system...
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
I had it for a day and everything checks out to what most reviews says. 100% battery life. No scratch or marks. Practically brand new. The price could be better but I love my new phone.
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
Phone is awesome. Very economical for any carrier to be switched. Love the size of the phone makes shows or games enjoyable.
"
"        Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)       ","
Phone was in as stated “excellent” condition.  Like brand new.  Quick delivery.  Definitely a reputable seller!
"
