asic,review
"        Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed)       ","
I declined to leave a unboxing video & picture on this one as its the 2nd device I've bought from this store/seller in a month, technically 3 in total from one of their affiliates. So , I'll start with delivery & packaging , in my profession ( CyberSec/OSINT  ) this is very important detail, it will typically tell the rest of your experience. They did great with shipping times, the got it to me early which is always welcomed and as promised came with a very generic charging block & cable and the device that's about it and it all works great!.  I will also say their after market packaging they used was actually very professional and looked great, sealed with care . There was some paperwork on the side I highly suggest reading as its about your warranty and thus is important.  Remember you pay for what you get, especially with Iphones. I use Android and IOS in business,  I bought a brand new 2021 NEW flagship android device for $320 less than this product but what I paid extra for was that Amazon renewed guarantee which not only promises your device to come with certain prerequisites like over 90% battery life etc BUT it comes with a one year warranty as well as a great return policy which is also a year. I saw alot of mixed reviews , and the details is where you need to look . This company/store did a great job. With its presentation,  Now I'm not going to go to deep I go i to a deep review on the device as a iphone is a iphone,  is a iphone. I have owned every model ,this was a replacement for me aside from business use. This would have been 5 stars all around given the check star system Amazon has in place However,  for example the battery I gave 4 stars, it did come with  90% battery in its bank but like most Iphones unless it's a new battery and has been conditioned ( charged ) properly the battery life is not great on any pro model unless it's the max versions but it will do most great and  as expected. The forest green was a color I loved and was out of stock when I bought it new so that was a nice  addition vs the green iphone 12 pro I have which a total different shade of green. So I bought a bundle , a recommended case and some tempered glass screen protectors,  I will say as they are sufficient,  I made a common mistake as I do like to pay for convienance these bundles are not always the most cost effective route. Do yourself a favor & look around, so  my total was about $730 , the phone itself was priced decent enough but remember that tax is going go be a least $50 added to the device. The phone came 100% Factory Unlocked as advertised and in great shape , the only blemish which I wasn't heartbroken about However for that kind of money and knowing how inexpensive it is to fix the glass as I've done it many of times, there was a decent scratch at the top near the top speaker HOWEVER, I am a tad OCD about things like that especially when spending  that kind of money and having actually bought 3 devices Factory Unlocked I have a high standard. I think most people wont take a 2nd look at it. Just a side note, the resell and value system of used Iphones especially are still very off in 2022 considering for another $150 I could've just bought the iPhone 13 NEW. That said, that has nothing to do with this seller or store just a observation as my business is in all tech. At the end of the day,I can o my fairly go off of what I git & my experience.  I am highly impressed and happy with this purchase. This store/seller took great care in its delivery time, its great packaging, everything came as advertised and product for all Intensive purposes is basically NEW. After 3 devices both IOS & Android , I would not hesitate to do business with this company again. Don't second guess these guys , in reality this was a 5 star sale . They did great business and as I said I was willing to pay more as yes you can find this de ice cheaper all day BUT you are gambling , when it co es to stuff like this I can't stress enough you get what you pay for. The device was perfect, again great presentation,  Factory unlocked,ive tested it on over 20 GSM carriers thus far and I paid for a great product but a peace of mind for a full year , it has a great warranty,  and I have no plans of a return but that option is there if you want it . They did great, I am happy and would buy again!
"
"        Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed)       ","
I got mines for a good price around $385. No scratches on the front screen nor the back or the sides. Battery life is good the only side effect I found was that it heats up pretty fast. Every app works perfectly fine. If you are looking for a bigger size phone I wouldn’t recommend the iPhone 11 Pro but I would recommend the iPhone pro MAX just a few dollars more wouldn’t hurt for a good value. It came with a charger and a USB cube but I would also recommend to get a legit apple cord and usb cube to charge the phone. Please read the instructions when you buy this phone, the cheaper ones are the ones that are a little big damaged and the higher prices are the ones that aren’t.Over all I give it 5 stars because it works as great as my iPhone 12 :)
"
"        Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed)       ","
It’s way better to get Amazon renewed compared to any old joe of a company selling it but they still don’t go by everything they promise. I ordered this and it has scratches on the camera lens and it’s banged up, but other than that the whole exterior is great. The only problem is they boast a 90% battery health or above for AR but mine came at 85%. Not a super big deal to me but if that’s something you’re concerned about then make sure you know what you’re getting into.
"
"        Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed)       ","
Phone works great...But calls & songs were muffled through the speakers...I cleaned them all myself using a hack from youtube and now it's working great...I just wish they had be cleaned before I received the phone...To me a refurbished phone should also be a clean phone...I didn't find this problem till the phone was all set up and I had made/received a phone call...Thankfully there was a simple fix and it wasn't more complicated...5 stars for the phone and 4 stars for having to do the work myself.
"
"        Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed)       ","
Advertisement said 80 percent charged, arrived 20 percent leaving me skeptical. After a charge and the store activating the phone, I have zero complaints so far. It's been a few days battery life is that of my old phone. Also my phone came a day early, that was cool. I was nervous I'd get a bootleg phone a d I did NOT. worth the purchase
"
"        Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed)       ","
NOT A SCAM it’s an amazing phone bought in good condition not excellent BUT no scratches or marks like brand new!! Got unlocked btw, had trouble with the straight talk but got it to work! Battery life was at 87% but can easy be replace the battery life is the same as my old iPhone 12! AMAZING PHONE shipping came 2 days early as well!
"
"        Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed)       ","
I don't know but this product is 100 recommend I receive the phone with a screen protector and no scratches battery life was at 93% but it's okay but one thing is that I didn't come with a Sim tool it only came with the phone and the cable charger and USB port  but I was so scare about the review and everything but everything was alright the phone work good bit I was expecting a bigger size but I still okay.
"
"        Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed)       ","
I switched from a iPhone SE to iPhone 11 pro. I bought this iPhone in a rush because who can live without their phone. Phone works great, and all the features work well. No scratches on the device and set up was like new. Exactly what I expected, if hesitant just buy, you will not regret it.Battery percentage was 80 percent capacity when received, which is kinda low, but charger stays charged longer than my last phone.
"
"        Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed)       ","
So nice and clean an came with a screen protector
"
"        Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed)       ","
I was a bit skeptical when i read the reviews but woooww I'm amazed, its like a brand new phone. Battery life 100%,, and it was easy to transfer my staff from my old iphone.100% recommend=d
"
